,ASN,prefix
65,9973,0.0
66,9952,0.0
68,9871,0.0
69,9858,0.0
136,204736,0.0
138,202365,0.0
141,197071,0.0
64,999999,0.0
240,30462,0.0
229,32934,0.0
225,33651,0.0
224,33667,0.0
159,11796,0.0
85,7497,0.0
86,714,0.0
93,64098,0.0
70,9526,0.0
221,3573,0.0
213,38278,0.0
212,38546,0.0
207,40633,0.0
279,20119,0.0
278,202623,0.0
273,209299,0.0
270,22773,0.0
268,23930,0.0
267,24029,0.0
265,24471,0.0
106,31027,0.0
99,35415,0.0
96,39839,0.0
95,40528,0.0
88,51269,0.0
263,2471,0.0
257,25369,0.0
256,2588,0.0
250,27176,0.0
248,28663,0.0
135,20649,0.0
134,21488,0.0
261,24875,0.0
258,2518,0.0
111,34259,0.0
116,31463,0.0
130,24724,0.0
219,10229,0.0
221,10059,0.0
74,42632,0.0
72,5617,0.0
85,202223,0.0
89,1820,0.0
93,12883,0.0
199,45224,0.0
133,40065,0.0
135,38623,0.0
140,36351,0.0
156,2607,0.0
106,55720,0.0
107,5539,0.0
117,4694,0.0
118,4635,0.0
121,4538,0.0
122,45370,0.0
187,17878,0.0
190,17457,0.0
196,138995,0.0
197,136897,0.0
199,136743,0.0
200,136038,0.0
201,135391,0.0
202,135067,0.0
204,133731,0.0
161,24506,0.0
162,24151,0.0
163,23911,0.0
164,23816,0.0
173,206264,0.0
179,198605,0.0
198,45671,0.0
108,266826,0.0
96,45265,0.0
101,3836,0.0
102,38321,0.0
104,37930,0.0
106,35908,0.0
57,11831,0.0
49,6391,0.0
48,65535,0.0
47,65540,0.0
100,10437,0.0
99,10578,0.0
121,24218,0.0
138,132829,0.0
140,131996,0.0
345,12741,0.0
352,11427,0.0
355,10913,0.0
357,10225,0.0
358,10204,0.0
340,131210,0.0
313,136360,0.0
314,135802,0.0
315,135722,0.0
316,135422,0.0
317,135247,0.0
318,134340,0.0
319,134305,0.0
320,134012,0.0
321,134009,0.0
322,134006,0.0
323,133971,0.0
324,133597,0.0
325,133372,0.0
326,13335,0.0
327,133301,0.0
328,133136,0.0
329,132960,0.0
330,132923,0.0
331,132890,0.0
332,132837,0.0
333,132763,0.0
334,132762,0.0
337,132137,0.0
56,65004,0.0
304,14413,0.0
298,17501,0.0
297,17645,0.0
294,17941,0.0
293,18106,0.0
292,18187,0.0
305,138798,0.0
306,13876,0.0
307,138678,0.0
309,137619,0.0
133,206893,0.0
78,3754,0.0
75,44587,0.0
72,59854,0.0
70,62416,0.0
308,138520,0.0
310,137106,0.0
108,40300,0.0
109,397881,0.0
128,12570,0.0
124,16876,0.0
119,19174,0.0
116,21838,0.0
114,22661,0.0
111,25248,0.0
81,64513,0.0
82,62458,0.0
87,58224,0.0
89,57878,0.0
311,137095,0.0
312,136684,0.0
98,11691,0.0
96,13765,0.0
94,12946,0.0
93,13094,0.0
83,29695,0.0
73,3361,0.0
96,1251,0.0
59,61568,0.0
58,64657,0.0
178,65016,0.0
71,20751,0.0
179,65009,0.0
180,64645,0.0
53,48452,0.0
50,8262,0.0
140,8666,0.0
86,11664,0.0
85,12430,0.0
79,19037,0.0
78,19315,0.0
62,6130,0.0
130,9558,0.0
131,9534,0.0
133,9381,0.0
135,9268,0.0
137,8784,0.0
33,62000,0.0
162,10026,0.0
160,15703,0.0
63,25818,0.0
73,203145,0.0
157,20647,0.0
151,44530,0.0
148,49964,0.0
140,8763,0.0
142,7195,0.0
129,9723,0.0
59,5483,0.0
73,20454,0.0
175,5605,0.0
48,29614,0.0
182,5104,0.0
166,59164,0.0
174,56300,0.0
188,49425,0.0
71,22364,0.0
81,11096,0.0
60,9443,0.0
190,4844,0.0
161,61813,0.0
162,6128,0.0
129,210222,0.0
177,5518,0.0
176,55884,0.0
130,1399999,0.0
147,7600,0.0
148,7046,0.0
150,6910,0.0
154,6660,0.0
155,6648,0.0
156,65542,0.0
193,4764,0.0
192,4817,0.0
160,63119,0.0
57,25682,0.0
159,6327,0.0
158,64200,0.0
52,99999,0.0
145,8121,0.0
123,17625,0.0001
119,45769,0.0001
120,38266,0.0001
42,14840,0.0001
138,5488,0.0001
48,27975,0.0001
137,8368,0.0001
124,133680,0.0001
56,6306,0.0001
170,131278,0.0001
53,5087,0.0001
125,132220,0.0001
50,29278,0.0001
62,45996,0.0001
61,4670,0.0001
59,201782,0.00011
119,25184,0.00011
59,9789,0.00011
71,38566,0.00011
54,35369,0.00011
112,4775,0.00011
114,17465,0.00011
102,36866,0.00011
116,134326,0.00011
169,56264,0.00011
115,136634,0.00011
52,3900,0.00012
109,133311,0.00012
108,136334,0.00012
107,137098,0.00012
104,56268,0.00012
75,55039,0.00012
115,34929,0.00012
131,13088,0.00012
43,38195,0.00012
45,22356,0.00013
55,12353,0.00013
24,204170,0.00013
31,20484,0.00013
45,17216,0.00013
44,262218,0.00013
101,43256,0.00013
103,133648,0.00013
102,24554,0.00013
73,15311,0.00013
62,56582,0.00013
25,201684,0.00013
48,203308,0.00013
57,58321,0.00013
46,262154,0.00014
112,204473,0.00014
69,12963,0.00014
97,58762,0.00014
48,39611,0.00014
166,138536,0.00014
61,9000,0.00014
100,132779,0.00014
43,7087,0.00014
120,13786,0.00015
56,11351,0.00015
96,133676,0.00015
38,210116,0.00015
37,11992,0.00015
66,47586,0.00015
67,1759,0.00015
69,131447,0.00015
69,264641,0.00015
93,23860,0.00015
95,133982,0.00015
94,17916,0.00015
57,34619,0.00016
56,55933,0.00016
47,47442,0.00016
89,134872,0.00016
90,133720,0.00016
91,133661,0.00016
66,56067,0.00016
67,55423,0.00016
65,29107,0.00016
68,264806,0.00016
67,52368,0.00016
56,21305,0.00016
46,27893,0.00016
37,25795,0.00016
110,29286,0.00016
45,200127,0.00017
55,23576,0.00017
33,264811,0.00017
163,55550,0.00017
63,57354,0.00017
165,134168,0.00017
44,35706,0.00017
42,8681,0.00017
55,45177,0.00017
111,34655,0.00017
114,16095,0.00017
113,31529,0.00017
38,852,0.00017
107,50020,0.00017
106,51405,0.00017
105,5555,0.00017
103,59872,0.00017
109,19084,0.00017
100,8190,0.00017
99,8544,0.00017
87,45942,0.00017
117,12684,0.00017
40,29384,0.00017
37,8953,0.00018
41,12046,0.00018
42,27951,0.00018
36,12754,0.00018
83,24186,0.00018
162,134186,0.00018
161,137385,0.00018
37,29791,0.00018
160,137526,0.00018
155,55828,0.00018
159,137961,0.00018
158,140077,0.00018
157,45273,0.00018
45,44356,0.00018
62,21214,0.00019
82,133593,0.00019
78,58965,0.00019
49,8014,0.00019
81,135772,0.00019
54,36408,0.00019
37,26426,0.00019
149,136429,0.00019
148,38192,0.00019
96,42240,0.00019
150,136272,0.00019
151,135420,0.00019
152,134599,0.00019
113,9919,0.0002
146,19151,0.0002
43,269738,0.0002
42,269832,0.0002
75,45184,0.0002
74,45609,0.0002
65,22850,0.0002
40,63023,0.0002
96,57958,0.00021
34,3327,0.00021
95,59458,0.00021
98,5416,0.00021
71,58659,0.00021
39,62805,0.00021
102,210194,0.00021
67,59162,0.00022
41,263238,0.00022
36,263097,0.00022
35,267685,0.00022
91,44889,0.00022
54,199484,0.00022
92,207462,0.00022
144,4515,0.00022
142,63963,0.00022
40,264851,0.00022
47,20299,0.00023
88,37447,0.00023
111,265550,0.00023
53,9689,0.00023
52,201863,0.00023
141,135654,0.00023
59,23884,0.00023
49,51765,0.00024
64,133255,0.00024
62,14935,0.00024
63,10778,0.00024
63,20940,0.00024
53,42555,0.00024
61,133001,0.00025
62,10029,0.00025
60,6505,0.00025
60,135739,0.00025
39,27817,0.00025
32,10135,0.00025
49,47883,0.00026
59,397373,0.00026
139,24481,0.00026
49,56740,0.00026
59,132770,0.00026
52,27702,0.00026
39,51090,0.00026
52,17579,0.00026
33,5384,0.00026
37,263771,0.00026
42,132045,0.00027
47,50509,0.00027
40,45356,0.00027
48,28849,0.00027
39,267699,0.00027
133,38256,0.00027
136,137532,0.00027
137,136022,0.00027
138,131247,0.00027
126,138596,0.00028
38,27814,0.00028
127,138501,0.00028
128,137967,0.00028
35,28087,0.00028
46,201364,0.00028
129,137584,0.00028
130,134113,0.00028
34,53356,0.00028
58,133295,0.00029
29,27653,0.00029
51,22418,0.00029
32,29684,0.00029
44,50941,0.00029
85,20495,0.00029
35,264844,0.0003
56,132116,0.0003
45,56611,0.00031
38,12926,0.00031
21,37254,0.00031
123,38200,0.00031
45,205540,0.00031
83,206611,0.00032
53,133275,0.00032
54,263688,0.00032
56,134823,0.00032
42,12978,0.00033
46,198961,0.00033
35,37084,0.00033
40,57722,0.00034
41,202254,0.00034
98,42000,0.00035
51,18209,0.00035
38,7727,0.00036
32,59432,0.00036
40,51559,0.00036
51,61317,0.00036
78,50309,0.00037
38,61135,0.00037
120,132092,0.00037
119,133954,0.00037
117,49453,0.00037
116,58826,0.00037
115,64063,0.00037
31,7908,0.00037
49,134312,0.00037
47,10158,0.00038
38,57070,0.00038
54,131293,0.00038
53,4628,0.00038
52,58913,0.00038
114,137432,0.00038
78,3744737447,0.00038
52,25249,0.00039
51,137557,0.00039
37,39582,0.0004
32,264788,0.0004
28,2856,0.00041
34,51225,0.00041
31,21599,0.00042
41,20804,0.00042
75,206206,0.00043
74,207701,0.00043
73,209438,0.00043
72,39273,0.00043
42,13046,0.00043
17,3352,0.00043
38,2874,0.00043
24,46887,0.00043
34,262210,0.00044
49,7654,0.00044
30,262248,0.00044
90,59711,0.00045
45,18302,0.00045
112,139904,0.00046
35,327952,0.00046
47,7633,0.00047
35,23855,0.00047
39,16592,0.00047
109,38017,0.00047
110,138357,0.00047
97,9822,0.00047
111,133866,0.00047
46,262237,0.00047
47,202701,0.00048
46,58678,0.00048
37,267752,0.00048
107,138346,0.00049
45,15994,0.00049
34,42863,0.00049
72,13002,0.0005
32,263229,0.00051
28,5532,0.00051
71,59469,0.00051
86,14744,0.00052
70,9008,0.00052
45,17917,0.00052
67,56687,0.00052
37,50685,0.00052
22,52260,0.00053
26,29550,0.00054
21,20928,0.00055
106,59340,0.00056
12,36925,0.00057
25,21013,0.00057
43,38095,0.00057
35,9021,0.00057
42,396390,0.00058
45,41877,0.00059
104,64074,0.00059
92,46562,0.00059
105,138197,0.00059
43,9730,0.0006
33,27903,0.00063
41,9829,0.00063
66,197692,0.00063
74,24730,0.00063
59,136800,0.00063
19,50010,0.00064
19,29386,0.00064
40,18002,0.00064
102,137449,0.00065
63,51018,0.00065
103,134552,0.00065
101,134732,0.00066
31,47787,0.00066
39,31203,0.00066
43,42397,0.00066
40,202660,0.00066
44,20545,0.00066
99,53264,0.00067
61,8607,0.00067
39,17754,0.00067
42,209046,0.00067
98,23991,0.00068
59,59507,0.00068
60,18229,0.00068
86,41798,0.00069
58,16866,0.00069
43,24475,0.00069
97,9832,0.00069
32,47623,0.00071
29,5588,0.00071
23,37716,0.00072
34,5430,0.00073
34,262186,0.00073
31,51336,0.00073
33,262191,0.00074
96,137467,0.00074
28,29003,0.00074
22,37008,0.00074
95,63967,0.00075
56,9063,0.00075
94,38712,0.00079
34,12735,0.00079
53,31216,0.0008
46,15808,0.0008
93,56032,0.0008
42,135511,0.00082
41,17857,0.00083
38,50257,0.00083
34,133296,0.00083
42,11340,0.00084
58,210247,0.00085
26,268856,0.00085
59,202699,0.00085
38,5645,0.00085
35,34540,0.00085
17,12390,0.00086
74,7438,0.00087
91,55406,0.00087
39,51375,0.00088
90,64018,0.00088
41,14117,0.00089
32,55824,0.0009
32,8881,0.00092
78,38742,0.00093
77,39356,0.00093
67,51430,0.00093
89,45766,0.00093
74,58470,0.00094
26,61461,0.00094
76,135376,0.00094
70,38056,0.00096
71,137276,0.00096
18,16657,0.00096
69,55865,0.00096
88,132884,0.00097
85,58616,0.00098
86,138623,0.00098
30,27845,0.00099
30,208339,0.00099
32,56301,0.00101
30,58598,0.00101
53,137826,0.00101
35,50107,0.00101
51,135300,0.00102
29,17882,0.00102
50,137893,0.00102
32,42910,0.00103
40,9891,0.00104
28,33333,0.00104
66,51346,0.00104
23,26210,0.00104
65,327829,0.00104
37,42961,0.00106
84,135615,0.00107
19,37577,0.00107
31,55352,0.00107
38,27066,0.00107
55,197882,0.00107
42,702,0.00108
54,210021,0.00109
36,17841,0.0011
83,136482,0.00111
82,62874,0.00111
39,327782,0.00112
37,264409,0.00113
52,60025,0.00113
81,134382,0.00114
24,3243,0.00115
35,1237,0.00115
80,17469,0.00116
23,393434,0.00117
24,27800,0.00117
33,49063,0.00118
23,8426,0.00119
30,47253,0.00119
30,17665,0.00119
22,28024,0.00121
77,58889,0.00122
78,135628,0.00122
59,37431,0.00123
76,58688,0.00125
29,42013,0.00125
39,7693,0.00126
21,22541,0.00127
75,139771,0.00128
11,36884,0.00128
38,132280,0.00129
50,203459,0.00129
39,47377,0.00131
24,27843,0.00132
36,27995,0.00132
57,39572,0.00133
27,16190,0.00134
73,38614,0.00134
31,57882,0.00134
32,21274,0.00135
30,37189,0.00137
49,200697,0.00137
55,37027,0.00138
48,205889,0.00139
30,25106,0.0014
20,7303,0.0014
28,264635,0.0014
28,45194,0.00141
36,38794,0.00142
28,48743,0.00143
33,209341,0.00143
29,20852,0.00143
19,34558,0.00144
25,27796,0.00144
32,263686,0.00144
33,262262,0.00144
34,4750,0.00145
30,263725,0.00146
33,4618,0.00146
25,27807,0.00146
18,20521,0.00147
26,48728,0.00151
28,10299,0.00151
59,133066,0.00152
21,6147,0.00153
22,45237,0.00155
70,133854,0.00156
27,45117,0.00161
30,262182,0.00163
24,264628,0.00164
24,42109,0.00165
68,64075,0.00165
67,136514,0.00166
27,52286,0.00167
66,38026,0.00168
26,132215,0.00169
26,8501,0.00169
31,58430,0.0017
35,29551,0.00171
30,4741,0.00172
50,8513,0.00172
51,327799,0.00172
34,56468,0.00173
32,42781,0.00173
49,39151,0.00174
24,10036,0.00174
65,23956,0.00175
64,135339,0.00178
46,37550,0.00178
27,265721,0.0018
29,27923,0.00184
23,37379,0.00185
22,6853,0.00186
34,41557,0.00186
51,38710,0.00188
62,132267,0.00188
53,11942,0.00189
49,17411,0.00191
27,16906,0.00191
27,12849,0.00193
23,9845,0.00195
23,42298,0.00196
60,24122,0.00197
59,58668,0.00197
61,135037,0.00197
52,4258,0.00198
28,57814,0.00201
23,16629,0.00203
26,13682,0.00204
20,48252,0.00205
18,262253,0.00207
42,205473,0.00208
31,5577,0.00209
10,37284,0.00211
24,17439,0.00211
58,136759,0.00217
44,135371,0.00223
30,48057,0.00224
57,63526,0.00227
18,9484,0.0023
22,46650,0.00235
18,28007,0.00248
22,9583,0.00248
28,200899,0.00249
14,197206,0.0025
50,35266,0.00254
56,9230,0.00257
20,25543,0.0026
55,58923,0.00269
18,5578,0.0027
54,136141,0.00274
46,17072,0.00276
21,42926,0.00276
17,328236,0.00281
16,37164,0.00281
22,263218,0.00281
20,43260,0.00282
45,44901,0.00284
44,47441,0.00284
27,31500,0.00293
52,23688,0.00295
26,8193,0.00296
17,47887,0.00298
19,43391,0.00301
30,33983,0.00306
51,24342,0.00312
42,37273,0.00313
36,198589,0.00314
35,201749,0.00314
27,45758,0.00317
17,51407,0.00318
16,57259,0.00324
33,200485,0.00325
25,43060,0.00329
16,8053,0.00334
18,57470,0.00341
20,17762,0.00341
19,50340,0.00341
19,33852,0.00343
49,63996,0.00343
48,55492,0.0035
23,61468,0.00351
32,203735,0.0036
47,58672,0.00361
46,136224,0.00364
9,28885,0.0037
42,135298,0.00372
45,7565,0.00373
40,15566,0.00378
16,8376,0.00384
30,37497,0.00387
19,9457,0.00388
44,134204,0.00389
15,60268,0.00389
38,13999,0.00394
28,37179,0.00397
42,38203,0.00402
41,135341,0.00404
22,25467,0.00405
40,45588,0.00405
20,263783,0.00409
20,29467,0.00409
38,59378,0.00412
20,18840,0.00415
37,134736,0.00416
36,136480,0.00416
16,15525,0.00422
37,132298,0.00425
38,37463,0.00427
28,57588,0.00429
25,9931,0.00429
14,20312,0.00435
12,394601,0.00445
27,202441,0.00448
27,204152,0.00459
36,36890,0.00465
12,3,0.0047
36,23923,0.00472
18,15965,0.00476
26,21246,0.00478
35,63998,0.00495
35,24323,0.00496
17,35900,0.00497
26,57324,0.00506
17,262199,0.00507
34,132165,0.00512
16,47881,0.00512
10,25620,0.00513
34,20294,0.00516
23,1733,0.00517
14,24559,0.00518
34,135433,0.0052
18,7562,0.00524
25,37305,0.00529
25,11845,0.00553
34,58691,0.00555
32,265684,0.00568
22,45458,0.00572
14,50670,0.00575
25,32217,0.00576
33,9441,0.00586
15,37287,0.00589
13,9186,0.00593
32,10102,0.00594
37,27064,0.00621
23,35047,0.00625
20,206819,0.00629
31,134146,0.00632
19,38227,0.00638
14,27729,0.0064
30,52276,0.0064
21,206262,0.00643
15,28716,0.00649
11,15146,0.00659
29,17806,0.00671
18,4621,0.00674
16,44327,0.00678
15,10282,0.00682
13,57704,0.00689
15,9848,0.00707
12,60636,0.00709
32,36908,0.00709
28,134371,0.00714
12,1930,0.00715
16,6471,0.00716
11,367,0.00736
27,138482,0.00744
27,262239,0.00752
26,263824,0.00756
12,33763,0.00759
14,36992,0.00763
19,264668,0.00764
12,8778,0.00767
22,23383,0.00771
12,26105,0.00772
18,17559,0.00775
11,328284,0.00778
13,44224,0.00785
24,56484,0.00787
20,8449,0.00791
15,49628,0.00803
20,265680,0.0081
22,24757,0.00813
18,14522,0.00819
30,37020,0.00831
13,27717,0.00833
22,27822,0.00836
9,27839,0.00841
13,10278,0.00849
29,37619,0.00888
25,63961,0.00914
14,56665,0.00916
30,721,0.00926
20,9155,0.0093
21,41032,0.00966
14,51495,0.00971
24,63969,0.00983
15,135409,0.00986
27,134134,0.0099
18,38077,0.01
12,24611,0.01012
10,33874,0.01019
14,9312,0.0102
23,45905,0.01021
20,48237,0.01029
21,265620,0.01033
12,19863,0.0104
28,327707,0.01044
9,12709,0.01056
4,21003,0.01065
16,263817,0.01092
17,27696,0.01099
15,28036,0.01112
8,328258,0.01121
21,58704,0.01127
19,28049,0.01135
12,31856,0.01144
16,17993,0.01185
8,13156,0.01187
17,327828,0.01188
10,38091,0.01193
16,50973,0.012
9,6848,0.01237
7,2860,0.01239
12,8517,0.01244
10,11556,0.01247
11,9038,0.01265
7,36974,0.01266
26,134739,0.01288
25,58952,0.01291
24,45796,0.013
15,8585,0.01377
15,263798,0.01414
23,37075,0.01423
11,11562,0.01443
12,60388,0.01474
14,37163,0.01479
23,132471,0.01486
22,27065,0.01524
15,196709,0.01531
13,262202,0.01555
13,37100,0.0156
6,39392,0.01567
20,48159,0.01569
19,45178,0.01571
19,328594,0.01571
10,34547,0.01586
13,37721,0.01586
10,27924,0.01597
8,36962,0.01627
10,55644,0.01636
9,49792,0.01655
13,9934,0.01665
12,4862,0.01667
9,45820,0.01694
19,36873,0.01758
14,37425,0.01759
10,3816,0.01765
8,37442,0.01771
12,47394,0.01778
14,60299,0.01781
12,6458,0.01822
10,2,0.01843
13,50710,0.01906
11,43940,0.01935
11,10089,0.01956
11,47872,0.01965
6,132468,0.01971
9,33567,0.01978
15,133606,0.02
14,24482,0.02002
10,42772,0.02059
16,6774,0.02084
12,6412,0.02138
16,327802,0.02158
12,27919,0.0221
19,59362,0.02215
15,204523,0.02304
16,133524,0.02364
14,201986,0.02367
7,55836,0.02372
11,328469,0.024
15,22690,0.02407
