ASN,is_bgptools_peer_v4,is_bgptools_peer_v6
400818,1,1
400735,1,1
400671,1,1
400587,1,1
400442,1,1
399976,1,1
399580,1,1
399196,1,1
396998,1,1
394414,1,1
329095,1,1
328840,1,1
327872,1,1
327813,1,1
269396,1,1
263444,1,1
213316,1,1
213086,1,1
213052,1,1
212934,1,1
212855,1,1
212828,1,1
212655,1,1
212635,1,1
212618,1,1
212276,1,1
212232,1,1
212226,1,1
212123,1,1
212068,1,1
211588,1,1
211244,1,1
211144,1,1
211024,1,1
210667,1,1
210645,1,1
210537,1,1
210532,1,1
210312,1,1
210152,1,1
210083,1,1
210000,1,1
209861,1,1
209768,1,1
209295,1,1
209198,1,1
209022,1,1
208627,1,1
208563,1,1
208431,1,1
207960,1,1
207934,1,1
207846,1,1
206924,1,1
205848,1,1
205614,1,1
205479,1,1
205329,1,1
204867,1,1
204092,1,1
204059,1,1
203819,1,1
203577,1,1
203478,1,1
203314,1,1
202662,1,1
202585,1,1
202359,1,1
202224,1,1
202032,1,1
200879,1,1
200866,1,1
200454,1,1
200242,1,1
199938,1,1
199762,1,1
199518,1,1
199177,1,1
196610,1,1
151349,1,1
151336,1,1
151188,1,1
151062,1,1
150249,1,1
150238,1,1
150000,1,1
149794,1,1
146961,1,1
141776,1,1
140423,1,1
138997,1,1
137509,1,1
135063,1,1
64475,1,1
64445,1,1
64124,1,1
64073,1,1
63800,1,1
62193,1,1
62075,1,1
61138,1,1
60900,1,1
60557,1,1
59678,1,1
59645,1,1
59238,1,1
58299,1,1
58057,1,1
57870,1,1
57866,1,1
57782,1,1
57777,1,1
57692,1,1
57406,1,1
57369,1,1
57156,1,1
56665,1,1
56595,1,1
56457,1,1
55785,1,1
54681,1,1
54316,1,1
52888,1,1
52210,1,1
52075,1,1
52025,1,1
51519,1,1
51019,1,1
50917,1,1
50395,1,1
50391,1,1
50304,1,1
50224,1,1
50156,1,1
50058,1,1
49697,1,1
49544,1,1
48927,1,1
48918,1,1
48605,1,1
48070,1,1
47787,1,1
47753,1,1
47689,1,1
47251,1,1
46997,1,1
46307,1,1
44854,1,1
44684,1,1
44393,1,1
44103,1,1
44097,1,1
43099,1,1
42541,1,1
42184,1,1
40994,1,1
39122,1,1
38008,1,1
37989,1,1
37701,1,1
37700,1,1
37699,1,1
37271,1,1
36791,1,1
36236,1,1
35008,1,1
34927,1,1
34854,1,1
34549,1,1
34465,1,1
34307,1,1
34019,1,1
33891,1,1
33185,1,1
31142,1,1
30617,1,1
29169,1,1
26457,1,1
25291,1,1
23428,1,1
21738,1,1
21700,1,1
21473,1,1
20811,1,1
20555,1,1
18792,1,1
16374,1,1
14478,1,1
13786,1,1
13335,1,1
13058,1,1
12859,1,1
12637,1,1
11232,1,1
9136,1,1
9002,1,1
8767,1,1
8758,1,1
8550,1,1
8473,1,1
8426,1,1
8283,1,1
8218,1,1
7195,1,1
7018,1,1
6830,1,1
6461,1,1
6140,1,1
5511,1,1
3491,1,1
3320,1,1
2854,1,1
2848,1,1
2027,1,1
1828,1,1
1403,1,1
1003,1,1
945,1,1
924,1,1
923,1,1
835,1,1
807,1,1
553,1,1
400799,1,0
400245,1,0
399306,1,0
397244,0,1
396440,1,0
394337,0,1
329101,0,1
329035,1,0
329029,1,0
270682,1,0
267469,1,0
265234,1,0
265169,1,0
263164,1,0
262880,1,0
262768,1,0
213392,0,1
213267,0,1
213234,0,1
213045,0,1
212888,0,1
212783,0,1
212625,0,1
212477,1,0
212341,1,0
212294,0,1
212270,0,1
212253,1,0
212175,1,0
212125,0,1
212120,0,1
212112,0,1
212049,0,1
211998,0,1
211907,0,1
211869,0,1
211685,0,1
211604,0,1
211579,0,1
211509,0,1
211360,1,0
211275,0,1
211194,0,1
211153,0,1
210965,0,1
210951,0,1
210925,0,1
210888,0,1
210633,0,1
209933,0,1
209718,0,1
209419,0,1
209306,0,1
209225,0,1
209045,1,0
208893,0,1
208768,0,1
208690,0,1
208612,1,0
208223,0,1
208076,0,1
208029,0,1
207965,0,1
207781,0,1
207740,0,1
207662,0,1
207616,1,0
207613,0,1
207466,0,1
207301,0,1
207036,1,0
207003,1,0
206699,0,1
206290,0,1
206271,0,1
206221,1,0
205929,0,1
205794,0,1
205531,0,1
205432,0,1
205102,0,1
204994,1,0
204926,0,1
204882,0,1
204844,1,0
204508,0,1
204345,0,1
204003,0,1
203868,0,1
203528,0,1
203453,1,0
203069,0,1
203062,0,1
203024,0,1
202952,0,1
202939,0,1
202685,0,1
202573,0,1
202427,0,1
202262,0,1
202002,0,1
201971,1,0
201911,0,1
201636,1,0
201217,0,1
200993,0,1
200676,0,1
200579,0,1
200536,0,1
200360,0,1
200351,0,1
200182,0,1
200179,0,1
200160,0,1
200078,0,1
199763,0,1
199689,0,1
199683,0,1
199680,0,1
199632,0,1
199626,0,1
199514,0,1
199376,0,1
199203,0,1
199176,0,1
198942,0,1
198590,0,1
198342,0,1
198180,0,1
197856,0,1
197749,0,1
151418,0,1
151202,0,1
149500,0,1
142551,0,1
142280,0,1
140627,1,0
139317,0,1
136557,1,0
134666,0,1
131149,1,0
62217,1,0
61423,1,0
60841,1,0
60345,1,0
60326,0,1
59715,1,0
58052,0,1
57848,1,0
57630,1,0
57050,0,1
56786,1,0
56662,0,1
53180,1,0
52999,1,0
52188,1,0
51345,0,1
51087,0,1
50755,0,1
50629,1,0
49992,0,1
48971,1,0
48581,0,1
48436,0,1
48111,1,0
41666,1,0
41230,1,0
41051,1,0
39384,1,0
38965,1,0
37239,0,1
36369,0,1
35487,1,0
34979,1,0
34681,1,0
32097,1,0
30999,1,0
30456,1,0
28124,1,0
26930,1,0
26533,0,1
25596,1,0
25198,1,0
20912,1,0
16970,1,0
13009,1,0
9268,1,0
8315,1,0
7721,0,1
7480,0,1
3170,1,0
2589,1,0
1140,1,0
917,1,0
