tag,RIPE RIS,rrc00,rrc01,rrc03,rrc04,rrc05,rrc06,rrc07,rrc10,rrc11,rrc12,rrc13,rrc14,rrc15,rrc16,rrc18,rrc19,rrc20,rrc21,rrc22,rrc23,rrc24,rrc25,rrc26
AS_rank_source,0.07440954686822841,0.13582410295638514,0.1583170746282251,0.21473707786423216,0.5799627667076053,0.3439986986949371,0.12688030345777523,0.2056597148055043,0.2725832096130653,0.09801358488915488,0.23410009940552906,0.21891763403751344,0.1663896805282749,0.1955109093919701,0.2503453712652972,0.3786114594406691,0.4748632761756312,0.28849392883005365,0.24738933147322084,0.35858327069999496,0.20132340994111628,0.5766275296110948,0.21910668506485237,0.1753606968039319
AS_rank_iso,0.21932335998291294,0.4140654913655792,0.48860610196318244,0.4918092594454989,0.9238265388114083,0.6349782422664356,0.6582748400672497,0.5947147980490886,0.7299967185378128,0.5621082258025317,0.5049865230305394,0.6341625960316379,0.6085168357899081,0.621630235989145,0.6355321810674543,0.7263289061200742,0.7174882296874756,0.7382363243404415,0.7029704415070972,0.6996297807740509,0.5622573548349452,0.6416809291263229,0.491210050720163,0.7399786227077494
AS_rank_continent,0.07086427013428295,0.12167903303467432,0.16365367205263576,0.17531174709467445,0.618554898834941,0.36933969932053995,0.13239217080589938,0.23384835005400162,0.30414551387930916,0.08851080820468571,0.20913202365683992,0.1811635758701426,0.15157964925067824,0.21290694612034,0.26699397071645403,0.407228283814658,0.505075762581345,0.32062093003163716,0.22778823500625417,0.36390960506536146,0.1757165526443063,0.5534956377416769,0.16371628372773234,0.1420343577522818
AS_rank_numberAsns,0.18046799045560652,0.14017012272604062,0.3263584148234361,0.20983379419897097,0.5398376657320398,0.27245736994404146,0.16964449498060952,0.5307362010474773,0.14285609047279826,0.4454493223935352,0.29686671999983505,0.42169510915986086,0.3156883887667186,0.27880868837208095,0.51930358970773,0.24587273444943045,0.17658406861870227,0.15297634747007424,0.2342232723226665,0.18427451825574165,0.3781253795115102,0.18583991721566948,0.14103358431990798,0.9140467446673346
AS_rank_numberPrefixes,0.1857484554482887,0.12350524402745494,0.4378651161188403,0.20870396017424003,0.7277385184366283,0.3029587405506896,0.17851143827633692,0.4636243451318268,0.14941867342618687,0.8785371043505831,0.40396447673680774,0.3941681893133013,0.5196430276597478,0.8560267519696109,0.8719172731196929,0.2775713992150718,0.26036893592947585,0.17875831298261957,0.2130129034243408,0.2613892542774911,0.7006812849794346,0.2725638608537389,0.09589210409570294,0.9337426943232766
AS_rank_numberAddresses,0.22583157929519881,0.1107041949452895,0.5530596962375841,0.27726628660753727,0.8243493251941407,0.530434033796037,0.42072266236352485,0.6382110231917951,0.41806520678573195,0.8402492331170958,0.45505134853400614,0.534676591968531,0.5890057047661253,0.6227091729182969,0.8388202895298266,0.37247946235167584,0.44138539313108305,0.36606822173739006,0.3039771609564223,0.32398491675953817,0.5911637170004188,0.3640723077762952,0.10445168309131535,0.8247405229268228
AS_hegemony,0.16663262900802978,0.06140759972393596,0.3944190185793911,0.2083079537940635,0.8252629584618023,0.42701237096140066,0.29860355648493686,0.5375021855217175,0.23573065611164093,0.66215132441989,0.31759714105146,0.3935941387264401,0.4010412533389302,0.40871635106792203,0.664215306976721,0.5798071573410521,0.19490301613607047,0.130027897434871,0.18554610869616944,0.28994723105463793,0.329012588792973,0.10333435945008397,0.06679398046329092,0.600813637376728
AS_rank_total,0.4600473239568638,0.4069037781489171,0.9291222104210946,0.6530972353931633,0.9499126132814426,0.925296576017581,0.9417398967573012,0.8813908737638426,0.652497784730122,0.9672811949644126,0.841978345903157,0.8640046416372825,0.9513541590043139,0.887698245162434,0.9621733187535366,0.44235270744765925,0.7555135766126517,0.8531618836589372,0.6204113855686876,0.38023591048990435,0.9289537477381653,0.2656083080952694,0.17930803653175678,0.8626467369109647
AS_rank_peer,0.4178402361775451,0.35181110496997803,0.9470738896333943,0.6351598929956946,0.9637632186147784,0.9115987883382438,0.9593673188633283,0.9204481219998831,0.6533374967406446,0.9665990235314872,0.8413649792119409,0.9142901208183853,0.9495435864570837,0.9183815579065913,0.9460247281596457,0.31817642788362044,0.7627569183607875,0.6776205016808232,0.6323079258073862,0.3366218310827269,0.9437518175899478,0.09823170116912887,0.11876616152940508,0.44905796285803173
AS_rank_customer,0.1494314097583903,0.12684095503192078,0.23784266516083719,0.19185759305118286,0.5618111810087997,0.2021731470131494,0.1871072403735467,0.36417001209056304,0.1124251229263334,0.4026251841508539,0.2729718704806275,0.4539683111396119,0.2648605868915594,0.2862141675208436,0.3166276631961577,0.15797226582092833,0.12195145426818506,0.13014396912989395,0.22340271818722338,0.14041294850201175,0.27582900220688733,0.2100390179564253,0.10964942692598333,0.41822036508996613
AS_rank_provider,0.1685787257389769,0.11842614405387046,0.17978583654487182,0.18579850705614526,0.6214098197217511,0.26667031423801474,0.7103919038525611,0.16949809696753942,0.22840175400121665,0.24092236652025953,0.2884205249181831,0.2127352070535054,0.32515688329769693,0.29569469208872023,0.5119859198244588,0.2835532776150719,0.16366005305583073,0.1964326417200861,0.307526802327199,0.20055347607135884,0.3722949372149892,0.2043558383022106,0.1111305816947893,0.6480316244176578
peeringDB_ix_count,0.1821761250068002,0.13271202079460453,0.40424513033311577,0.448969641350142,0.2834597716327645,0.20696821495694415,0.8459329510243924,0.6867822296027715,0.19958431403590413,0.5538394596187435,0.43207370505020887,0.4605584908467373,0.47443472443197476,0.23025892047071142,0.42506766765818466,0.22443493648726537,0.3131573538012927,0.20169052635945492,0.539903980461783,0.15840455417588173,0.45751639276762346,0.13335449625576778,0.11391038214472182,0.2825215979161406
peeringDB_fac_count,0.1362445128514139,0.10260733108838115,0.32603512024131237,0.26858381996788844,0.2124286248884324,0.1555796802912105,0.19113193067593834,0.4096552120376024,0.19869112222992216,0.4624248281370099,0.2151560395359235,0.38093697891896505,0.4836089486709358,0.1826763742149619,0.4787180990484104,0.0791209604885954,0.1521224477868862,0.16626669456779364,0.23863515141142827,0.11582438761250698,0.4327261424231447,0.1618941751274793,0.09242519994769005,0.21490956964799846
peeringDB_policy_general,0.013134047655232383,0.035426956256208016,0.08401490492881458,0.04361416322823988,0.08474369688123132,0.05687266793165139,0.15713627806661598,0.20196867237016458,0.04489921346186846,0.063433275302013,0.05356582391750229,0.07411058519645969,0.11753325751619906,0.033074885545349014,0.14023195395522275,0.03080565555034334,0.02255507984846202,0.024666287775326957,0.033277654120228234,0.02714340946636414,0.03326362115601408,0.024538353679191077,0.00830314888416861,0.09277760989385944
peeringDB_info_type,0.1350432263714847,0.20220357234538053,0.23105647046162064,0.13391073422627348,0.3200763229821427,0.21096990495250717,0.7541419328338401,0.3631959198643795,0.29954432235164397,0.6737908071821007,0.25409899753456155,0.3100155857010115,0.4636967398035205,0.3364160473807517,0.4416446924641009,0.1706175880053708,0.27459550341728417,0.27718970875287885,0.31542417661486655,0.291372984051588,0.182054922383858,0.13458635214726075,0.1296004215485743,0.21186360822200623
peeringDB_info_ratio,0.09505185860350251,0.13922283549719253,0.10123034638459597,0.17045751820404048,0.3883141438993438,0.17584561556419673,0.599209440886939,0.11994548758441517,0.17489885695754978,0.16391186861679602,0.19282232317402156,0.17632314537377416,0.36004835386451056,0.2940927697583933,0.38052637517957816,0.3455364338357096,0.13301393774896178,0.19405419944729885,0.1447710730964819,0.22224988872063292,0.1192376230585243,0.06319958471014966,0.11548768011793392,0.050453949591385945
peeringDB_info_traffic,0.04209399994551193,0.032661088071395596,0.2373944397109885,0.08517251808518156,0.47578247923213596,0.2580204645915617,0.5233496330692695,0.7173693276969451,0.10249261353597258,0.6608222625519582,0.19269372499624876,0.6979848036230452,0.5425419948810563,0.24262367848100852,0.7991514368474325,0.26062984865517724,0.19703779493812262,0.19296162417702586,0.15874070591427766,0.2774760667225229,0.48606076784300833,0.3878081015976907,0.08872160896356086,0.6860195379745266
peeringDB_info_scope,0.1400607070535144,0.12964495809357074,0.3327010153697452,0.34638745864906456,0.4775930886440359,0.2811415050417962,0.6112076254620271,0.2250174244490177,0.39484358821331983,0.7131876019901693,0.30690867140951245,0.26748646469456516,0.5751155997154798,0.48019365551951043,0.5737005784135958,0.4627001887595561,0.4479012577775488,0.29067873071229167,0.4002099637507293,0.2634401731010949,0.5930303070998614,0.2984773247748733,0.18356993311937322,0.8666595153484611
is_personal_AS,0.005661858538180718,0.023080490117098708,0.005261960347474111,0.0009670012925184414,0.005261960347474111,0.005261960347474111,0.005261960347474111,0.005261960347474111,0.005261960347474111,0.005261960347474111,0.0010866602954782431,0.005261960347474111,0.005261960347474111,0.005261960347474111,0.005261960347474111,0.005261960347474111,0.005261960347474111,0.01862700766592019,0.0026559915079169094,0.005261960347474111,0.005261960347474111,0.005261960347474111,0.038631091271400776,0.005261960347474111
