,AS_rank_iso,AS_rank_continent,is_personal_AS,peeringDB_info_scope,peeringDB_info_traffic,peeringDB_info_type,peeringDB_info_ratio,peeringDB_policy_general,peeringDB_fac_count,peeringDB_ix_count,AS_rank_provider,AS_rank_customer,AS_rank_peer,AS_rank_total,AS_hegemony,AS_rank_numberAsns,AS_rank_numberPrefixes,AS_rank_numberAddresses,AS_rank_source
AS_rank_iso,1.0,0.9989871135772289,0.15880770081561385,0.295622505974791,0.019166997822959924,0.1392664027070786,0.16293902203001343,0.17619350317491247,0.1898586579251724,0.22631358244046992,0.3992071192718632,0.1414023523248678,0.28141557527311906,0.35472440889161716,0.020929751791585485,0.270204355822844,0.30087627429164415,0.4013653739365437,0.9871664047256745
AS_rank_continent,0.9989871135772289,1.0,0.09105519548802492,0.29964355596883485,0.006311728099152639,0.13228783619544945,0.12040849979110527,0.13365878812525625,0.10742203459323328,0.14444465679348126,0.3173089333729465,0.11080706310409083,0.1975295208714869,0.29095034707342243,0.011582661490645785,0.2582440722466123,0.22497213561797946,0.3099582411468075,0.9532123696537602
is_personal_AS,0.15880770081561385,0.09105519548802492,1.0,0.15478804759393056,-0.001154166577934806,0.31946677321774125,0.10877526347712979,0.10511234530840435,0.023032364806707933,0.08283518383114963,-0.04712889702234455,-0.016050730674663383,-0.0012108244643708691,-0.03119958478538012,-0.001729590398412399,-0.02056027034003791,-0.04682388242760199,-0.056557453850461695,0.09409247520524187
peeringDB_info_scope,0.295622505974791,0.29964355596883485,0.15478804759393056,1.0,0.08210022234700362,0.40277816566177355,0.5252758426884392,0.49247398439853796,0.6070615031585148,0.6702345341906174,0.321873777494313,0.3982225777559138,0.5360575569949226,0.5187883356916075,0.07544172381904736,0.37006096188408777,0.4363880872907877,0.34949666040830263,0.3072194345650994
peeringDB_info_traffic,0.019166997822959924,0.006311728099152639,-0.001154166577934806,0.08210022234700362,1.0,0.06316924950352935,0.06774397151126026,0.06297682942419444,0.12011375942726467,0.09187679268471742,0.02762641344915782,0.11043647331482027,0.07773829931549439,0.08058328940396284,0.46004896844487747,0.13462659474284763,0.0857063707024886,0.04270532094989543,0.006001101292695369
peeringDB_info_type,0.1392664027070786,0.13228783619544945,0.31946677321774125,0.40277816566177355,0.06316924950352935,1.0,0.5359988041663691,0.49479895491939957,0.6006154193918696,0.6646905047065856,0.34141756034602694,0.4572617342950248,0.5300725517478398,0.5342629674632435,0.06633254831777567,0.434212490733077,0.47088083685581983,0.3745916134718314,0.1409262076673034
peeringDB_info_ratio,0.16293902203001343,0.12040849979110527,0.10877526347712979,0.5252758426884392,0.06774397151126026,0.5359988041663691,1.0,0.48603865689744197,0.5741905401172763,0.6550066379027025,0.322699567222315,0.3971340143541421,0.5144991308642711,0.512571354714603,0.0417637552566981,0.367887461483895,0.43662093848153216,0.3527148279508847,0.12907235059684213
peeringDB_policy_general,0.17619350317491247,0.13365878812525625,0.10511234530840435,0.49247398439853796,0.06297682942419444,0.49479895491939957,0.48603865689744197,1.0,0.5424529737261345,0.6296667778782962,0.3153673229178362,0.3993060947676578,0.48820969537709474,0.49824972481540436,0.1021271176932514,0.37768135906525796,0.4350080474784203,0.3443855887072181,0.1313211785705468
peeringDB_fac_count,0.1898586579251724,0.10742203459323328,0.023032364806707933,0.6070615031585148,0.12011375942726467,0.6006154193918696,0.5741905401172763,0.5424529737261345,1.0,0.6924035707815004,0.2884999743451783,0.4901821007667639,0.5835066459103458,0.5340793119355814,0.09787135561157428,0.48545290495359184,0.43134444037087677,0.29812625978939955,0.09503050725545309
peeringDB_ix_count,0.22631358244046992,0.14444465679348126,0.08283518383114963,0.6702345341906174,0.09187679268471742,0.6646905047065856,0.6550066379027025,0.6296667778782962,0.6924035707815004,1.0,0.3343230506831183,0.5028875145002503,0.710803523034032,0.6189560727895698,0.06298424656094077,0.49106967772940113,0.4599436521076599,0.3272897110987869,0.13696645317575545
AS_rank_provider,0.3992071192718632,0.3173089333729465,-0.04712889702234455,0.321873777494313,0.02762641344915782,0.34141756034602694,0.322699567222315,0.3153673229178362,0.2884999743451783,0.3343230506831183,1.0,0.31449504260641525,0.37628994999745574,0.8077778105136817,0.011702683274493548,0.32980352119976625,0.6743652648641757,0.8453751259838669,0.31949250322368267
AS_rank_customer,0.1414023523248678,0.11080706310409083,-0.016050730674663383,0.3982225777559138,0.11043647331482027,0.4572617342950248,0.3971340143541421,0.3993060947676578,0.4901821007667639,0.5028875145002503,0.31449504260641525,1.0,0.5225476756748069,0.6463883560408475,0.17360844187293198,0.9428752313576493,0.7046562261089725,0.43933345904292004,0.11443435212479597
AS_rank_peer,0.28141557527311906,0.1975295208714869,-0.0012108244643708691,0.5360575569949226,0.07773829931549439,0.5300725517478398,0.5144991308642711,0.48820969537709474,0.5835066459103458,0.710803523034032,0.37628994999745574,0.5225476756748069,1.0,0.8001362882728361,0.08084478198592193,0.5154140811458094,0.49244028127322564,0.37286874465235686,0.17841762797894153
AS_rank_total,0.35472440889161716,0.29095034707342243,-0.03119958478538012,0.5187883356916075,0.08058328940396284,0.5342629674632435,0.512571354714603,0.49824972481540436,0.5340793119355814,0.6189560727895698,0.8077778105136817,0.6463883560408475,0.8001362882728361,1.0,0.10107929198249842,0.6389050309543354,0.7796842972037392,0.7727197889273092,0.2864499784293083
AS_hegemony,0.020929751791585485,0.011582661490645785,-0.001729590398412399,0.07544172381904736,0.46004896844487747,0.06633254831777567,0.0417637552566981,0.1021271176932514,0.09787135561157428,0.06298424656094077,0.011702683274493548,0.17360844187293198,0.08084478198592193,0.10107929198249842,1.0,0.21280428037283772,0.1284494434815696,0.06954681384219347,0.0114396906742235
AS_rank_numberAsns,0.270204355822844,0.2582440722466123,-0.02056027034003791,0.37006096188408777,0.13462659474284763,0.434212490733077,0.367887461483895,0.37768135906525796,0.48545290495359184,0.49106967772940113,0.32980352119976625,0.9428752313576493,0.5154140811458094,0.6389050309543354,0.21280428037283772,1.0,0.7006827797078662,0.4541885954600549,0.2620453287040472
AS_rank_numberPrefixes,0.30087627429164415,0.22497213561797946,-0.04682388242760199,0.4363880872907877,0.0857063707024886,0.47088083685581983,0.43662093848153216,0.4350080474784203,0.43134444037087677,0.4599436521076599,0.6743652648641757,0.7046562261089725,0.49244028127322564,0.7796842972037392,0.1284494434815696,0.7006827797078662,1.0,0.8308805118941306,0.23408391571399464
AS_rank_numberAddresses,0.4013653739365437,0.3099582411468075,-0.056557453850461695,0.34949666040830263,0.04270532094989543,0.3745916134718314,0.3527148279508847,0.3443855887072181,0.29812625978939955,0.3272897110987869,0.8453751259838669,0.43933345904292004,0.37286874465235686,0.7727197889273092,0.06954681384219347,0.4541885954600549,0.8308805118941306,1.0,0.3208538810493629
AS_rank_source,0.9871664047256745,0.9532123696537602,0.09409247520524187,0.3072194345650994,0.006001101292695369,0.1409262076673034,0.12907235059684213,0.1313211785705468,0.09503050725545309,0.13696645317575545,0.31949250322368267,0.11443435212479597,0.17841762797894153,0.2864499784293083,0.0114396906742235,0.2620453287040472,0.23408391571399464,0.3208538810493629,1.0
